item,price,store
NEILSON CHOCOLATE MILK,0.88,Walmart
ROOSTER COCONUT MILK 398 mL or CORN STARCH 454 g,0.88,Fresh Co
CARNATION EVAPORATED MILK,0.98,Walmart
"NO NAME® EVAPORATED MILK, 354 mL",0.98,Zehr's
NO NAME EVAPORATED MILK,0.99,Walmart
BEATRICE CHOCOLATE MILK 750 ml NESTLÉ CHOCOLATE BARS SELECTED SIZES NEILSON MILKSHAKES 310 ml,0.99,Zehr's
Grace Coconut Milk 400 mL Balocco Wafers 175 g Happy Swing Wafer Rolls 150 g,0.99,Walmart
Coconut Milk 400 mL Balocco Wafers 175 g Happy Swing Wafer Rolls 150 g,0.99,Walmart
"FRENCH OR ITALIAN CRUSTY BREAD, 450 g",1,Walmart
Neilson Chocolate Milk Beverage,1,Walmart
Sealtest Chocolate Milk 1 L Yop Yogurt Beverage 200 mL,1,Walmart
MILK CHOCOLATE COVERED RAISINS OR PEANUTS,1.1,Walmart
"NEILSON CHOCOLATE OR STRAWBERRY MILK, 1 L",1.25,Walmart
Aroy-D Coconut Milk,1.28,Walmart
"AROY-D COCONUT MILK, 400 mL",1.28,Walmart
"HADDAD PITA BREAD, pkg of 6",1.29,Walmart
"AROY-D COCONUT MILK, 400 mL",1.38,Walmart
CARNATION Evaporated Milk,1.49,Value Mart
"AROY-D COCONUT MILK, 400 mL",1.49,Zehr's
"ROOSTER BRAND SWEETENED CONDENSED MILK, 300 mL",1.58,Walmart
"OLD MILL BREAD, 675 g",1.65,Fresh Co
ITALIAN OR FRENCH BREAD,1.79,Zehr's
WONDER WHITE or WHOLE WHEAT BREAD,1.88,Walmart
"ROOSTER SWEETENED CONDENSED MILK, 300 mL",1.88,Walmart
"ROOSTER BRAND SWEETENED CONDENSED MILK, 300 mL",1.88,Walmart
"KITKAT ORANGE or WHITE MILK, 6 x 20.7 g",1.88,Zehr's
"ROOSTER™ SWEETENED CONDENSED MILK, 300 ML",1.89,Fresh Co
BREAD,1.97,Walmart
WONDER White or 100% Whole Wheat Bread,1.99,Walmart
RUDOLPH'S RYE BREAD,1.99,Walmart
"COUNTRY HARVEST Whole Grain, Oat & Honey, 12 Grain, Sunflower & Flax, Ancient Grain, or Flax & Quinoa Bread",1.99,Walmart
"OLD MILL BREAD, 675 g",1.99,Zehr's
La Visita Chicharron 85 g Grace Condensed Milk 300 mL or Corn Meal 2 kg,1.99,Walmart
La Visita Chicharron 85 g Grace Condensed Milk 300 mL or Corn Meal 2 kg,1.99,Value Mart
CADBURY DARK MILK CHOCOLATE BAR,2.25,Walmart
"COUNTRY HARVEST BREAD, 600/675 G",2.37,London Drugs
"D'ITALIANO BREAD 600/675g, BUNS pkg of 4-8 or COUNTRY HARVEST BAGELS pkg of 6",2.47,Walmart
"Villaggio Buns 6-8's or Bread 600-675 g Dempster's Tortilla 7""",2.49,Walmart
DEMPSTER'S Bread,2.49,Walmart
Dempster's Bread 675 g,2.49,Walmart
DEMPSTER'S Bread,2.49,Walmart
"Villaggio Buns 6-8's or Bread 600-675 g Dempster's Tortilla 7""",2.49,sobeys
RUBSCHLAGER OR COUNTRY HARVEST BREAD 454-675 g or WONDER BUNS 8'S,2.49,Food Basics
YOPLAIT Source or Whole Milk Yogourt,2.49,Zehr's
YOPLAIT Source or Whole Milk Yogourt,2.49,Zehr's
COUNTRY HARVEST BREAD 600/675 G OR D'ITALIANO BUNS PKG OF 4/8,2.77,Walmart
Mestemacher Bakery Organic Breads,2.79,Zehr's
SUN-MAID RAISIN BREAD OR STONEMILL BREAD,2.99,Fresh Co
FRONT STREET BAKERY CALABRESE BREAD,2.99,Walmart
"GARLIC BREAD, 330 g",2.99,Walmart
RYE BREAD,2.99,Zehr's
"SENSATIONAL Milk Soy Original, Vanilla or Chocolate",2.99,Zehr's
"NEILSON CREAM (473mL), MILKSHAKES (310mL) or DAIRYLAND MILK 2 GO (473mL)",3,Value Mart
"WEIGHT WATCHERS BREADS, BAGELS OR TORTILLAS",3.49,sobeys
"4x200 ml, GREEK 2x130 g/ 4x100 G/ 2X150 g, YOPLAIT WHOLE MILK, 650 g",3.49,Value Mart
"NATREL CHOCOLATE MILK, 6 X 200 ML",3.49,Walmart
EAGLE Condensed Milk or Sauce,3.49,Fresh Co
Coconut Cream or Cheese Garlic Buns,3.88,Food Basics
"NEILSON TRUTASTE, 1%, 2% or SKIM or CHOCOLATE MILK, 4 L",3.97,Walmart
PREMIÈRE MOISSON COUNTRY STYLE BREAD,3.99,Zehr's
COMPLIMENTS Texas Toast Garlic Bread,3.99,Zehr's
Cheese Bread 400 - 500g,3.99,Zehr's
COMPLIMENTS Texas Toast Garlic Bread,3.99,Fresh Co
NATREL Fine Filtered Milk,3.99,Walmart
"NEILSON CHOCOLATE, TRUTASTE 4 L OR LACTOSE FREE 2 L MILK, SIMPLY ORANGE JUICE 2.63 L",3.99,Walmart
NATREL Fine-Filtered Milk,3.99,Value Mart
"INTERNATIONAL DELIGHT COFFEE CREAMER (946mL), NEILSON TRUTASTE MILK (2L) or SILK BEVERAGES (1.89L)",3.99,Zehr's
SEALTEST Chocolate Milk,3.99,Value Mart
MILK?BONE BISCUITS OR TREATS,3.99,Zehr's
"CHEESE, pkg. of 6 or PIZZA SWIRL BUNS, pkg. of 4 or SRIRACHA or CHEESE BREAD, 450/470 g",4,Zehr's
"BEATRICE Milk Skim, 1% or 2% 4L or LACTANTIA Milk P?rFiltre, Smart Growth or Lactose Free 2L",4.27,Walmart
NEILSON MILK,4.27,Walmart
"NEILSON MILK, 4 L",4.27,Walmart
Thornbury Bakery Breads,4.49,Walmart
"Artisan Potato Scallion, Belgian or Roasted Garlic Bread",4.49,sobeys
"Artisan Potato Scallion, Belgian or Roasted Garlic Bread",4.49,Zehr's
NATREL Lactose Free Milk,4.49,Walmart
"NEILSON TRUTASTE LACTOSE FREE MILK, 2 L",4.98,Walmart
STONEMILL PRINCE EDWARD COUNTY STYLE BREAD,4.99,Walmart
"NEILSON LACTOSE FREE MILK, 2 L",4.99,Walmart
"NO NAME® ICE MILK, 4 L OR MCCAIN DEEP'N DELICIOUS CAKES OR PIES, 400-680 G",4.99,Value Mart
VILLAGGIO ITALIAN STYLE BREAD OR SAUSAGE OR CRUSTINI BUNS OR DEMPSTER'S BAGELS,5,Walmart
D'ITALIANO or COUNTRY HARVEST GRAINS BREAD 675g,5,Fresh Co
IRRESISTIBLES ITALIAN BREAD,5,Zehr's
"DEMPSTER'S WHOLE GRAIN BREAD, DELUXE BUNS OR D'ITALIANO BREAD OR 7"" TORTILLAS, GRAINHOUSE BREAD",5,Zehr's
Holista Milk Thistle,5,Walmart
Milk Chocolate Foil Hearts,5.19,Food Basics
"NEILSON TRUTASTE MILK, 4 L",5.29,Walmart
LACTANTIA PURFILTRE MILK,5.47,Walmart
"Dave's Killer Bread, 580-765 g",5.49,Walmart
EXTRA CHEDDAR CHEESE BREAD,5.99,Zehr's
Dempster's White or Whole Wheat Bread††,6,Walmart
"NO NAME® ICE CREAM SANDWICHES or ICE MILK BARS, pkg of 24/30",6.97,Value Mart
"TEPTIP COCONUT MILK, 2.9 L",6.98,Walmart
LACTANTIA LACTOSE FREE MILK,6.99,Walmart
Lentil Dhal with na'an Bread,7.49,Zehr's
"PC® KEY LIME OR COCONUT CREAM PIE, 830/875 g",7.99,Zehr's
"Natrel Lactose Free Milk 4 L, 1%, 2% or Skim",8.99,Walmart
INSIDE VEAL LEG CUTLET FOR SCALLOPINI,9.99,Zehr's
Enfargrow Toddler Nutritional Powder,18.96,Zehr's
Lux Bread Bin,29.99,Walmart
Pangea Star Wars Death Star Toaster - 2-Slice - Silver,29.99,Value Mart
Breville Long Slot Toaster - 4-Slice,149.99,Walmart
Philips Avent Comfort Double Electric Breast Pump,279.99,Value Mart
Medela Pump in Style Breastpump Backpack with BPA-Free Bottles,374.99,Walmart
Medela Freestyle Double Electric Breast Pump - with BPA-Free Bottles,484.99,Value Mart
Medela Sonata Double-Electric Breast Pump,594.99,Walmart
Sonata Deluxe Breastpump,594.99,Zehr's
